GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
1,Julie,,Silver,MD,Associate Professor of Physical Medicine & Rehabilitation,,Harvard Medical School
2,Malissa,,Wood,MD,Assistant Professor of Medicine,,Harvard Medical School
3,Osama,,Hamdy,"MD, PhD",Assistant Professor of Medicine,,Harvard Medical School
4,Joseph,,Shrand,MD,Instructor in Psychiatry,,Harvard Medical School
5,Elizabeth,,Rider,"MD, MSW",Assistant Professor of Pediatrics,,Harvard Medical School
6,Shelley,,Carson,PhD,Associate in Psychology,Harvard University,Harvard Medical School
7,Salvatore,,Iaquinta,MD,Chief of Mohs Surgery,Kaiser Permanente,Guest Faculty
8,Regina,,Brooks,,Founder and President,Serendipity Literary Agency,Guest Faculty
9,Susan,,Aiello,DVM,Editor-in-Chief of The Merck Veterinary Manual,President of the Board of Editors in the Life Sciences,Guest Faculty
10,Rusty,,Shelton,,President and CEO,Shelton Interactive,Guest Faculty
11,Diane,,Radford,MD,Mercy Clinic St. Louis,,Guest Faculty
12,Lisa,,Tener,MBA,Book writing coach and author,,Guest Faculty
13,Martha,,Murphy,,"Author, Editor, Writing Teacher, Book Coach",,Guest Faculty
14,John,,Hanc,,Associate Professor at New York Institute of Technology,,Guest Faculty
15,Vint,,Virga,"DVM, DACVB",Zoological Behavioral Medicine Consulting,,Guest Faculty
16,Debbie,,Carvalko,,Senior Acquisitions Editor,,Agents and Editors
17,Don,,Fehr,,Literary Agent,,Agents and Editors
18,Jeanne,,Fredericks,,Literary Agent,,Agents and Editors
19,Linda,,Konner,,Literary Agent,,Agents and Editors
20,Albert,,LaFarge,,Literary Agent,,Agents and Editors
21,Liz,,Neporent,,Writing Instructor,,Agents and Editors
22,Christopher,,Reid,,Medical Editor,,Agents and Editors
23,Jean,E. Thomson,Black,,Senior Executive Editor,,Agents and Editors
24,Jacqueline,,Wehmueller,,Executive Editor,,Agents and Editors